6.8	-28.59531
6.801	-29.21719
6.802	-28.80625
6.803	-30.03125
6.804	-30.55625
6.805	-31.47344
6.806	-33.21719
6.807	-34.70156
6.808	-35.60312
6.809	-35.50156
6.81	-36.39688
6.811	-35.78594
6.812	-36.13906
6.813	-34.93281
6.814	-34.4
6.815	-33.55625
6.816	-31.80469
6.817	-30.52813
6.818	-29.61563
6.819	-29.69844
6.82	-28.77344
6.821	-29.4
6.822	-28.82188
6.823	-30.07031
6.824	-30.70938
6.825	-31.54844
6.826	-33.33594
6.827	-34.77813
6.828	-35.59688
6.829	-35.34063
6.83	-36.34219
6.831	-35.68125
6.832	-36.28906
6.833	-35.15781
6.834	-34.57187
6.835	-33.73281
6.836	-31.87344
6.837	-30.54688
6.838	-29.58281
6.839	-29.7
6.84	-28.83906
6.841	-29.49063
6.842	-28.975
6.843	-30.15781
6.844	-30.71094
6.845	-31.575
6.846	-33.25781
6.847	-34.67813
6.848	-35.6125
6.849	-35.55
6.85	-36.42031
6.851	-35.875
6.852	-36.40625
6.853	-35.15938
6.854	-34.62344
6.855	-33.80313
6.856	-31.90938
6.857	-30.59688
6.858	-29.67969
6.859	-29.70313
6.86	-28.83281
6.861	-29.44531
6.862	-28.94063
6.863	-30.25156
6.864	-30.75625
6.865	-31.61875
6.866	-33.40313
6.867	-34.86875
6.868	-35.70469
6.869	-35.59531
6.87	-36.53906
6.871	-35.97656
6.872	-36.4875
6.873	-35.22969
6.874	-34.62969
6.875	-33.78281
6.876	-32.00625
6.877	-30.62344
6.878	-29.74844
6.879	-29.82813
6.88	-28.88125
6.881	-29.575
6.882	-28.95781
6.883	-30.14375
6.884	-30.85469
6.885	-31.66563
6.886	-33.52031
6.887	-35.00156
6.888	-35.85938
6.889	-35.66406
6.89	-36.68594
6.891	-36.15938
6.892	-36.61719
6.893	-35.42188
6.894	-34.89688
6.895	-34.04062
6.896	-32.22188
6.897	-30.81094
6.898	-29.88594
6.899	-30.05625
6.9	-29.02656
6.901	-29.76094
6.902	-29.28281
6.903	-30.42031
6.904	-31.01719
6.905	-31.83438
6.906	-33.58125
6.907	-35
6.908	-35.74531
6.909	-35.7625
6.91	-36.72031
6.911	-36.07813
6.912	-36.5625
6.913	-35.39063
6.914	-34.74531
6.915	-33.97344
6.916	-32.20625
6.917	-30.75781
6.918	-29.98594
6.919	-30.09531
6.92	-29.03906
6.921	-29.66406
6.922	-29.19844
6.923	-30.44531
6.924	-30.99688
6.925	-31.67344
6.926	-33.54844
6.927	-35.05625
6.928	-35.93125
6.929	-35.84219
6.93	-36.75156
6.931	-36.18281
6.932	-36.62031
6.933	-35.42813
6.934	-34.78594
6.935	-34.07656
6.936	-32.32656
6.937	-30.94063
6.938	-29.97344
6.939	-30.05469
6.94	-29.03125
6.941	-29.72656
6.942	-29.28125
6.943	-30.47813
6.944	-31.01094
6.945	-31.8375
6.946	-33.59063
6.947	-34.9875
6.948	-35.86719
6.949	-35.80469
6.95	-36.81094
6.951	-36.17656
6.952	-36.675
6.953	-35.46563
6.954	-34.87188
6.955	-34.07344
6.956	-32.20781
6.957	-30.96406
6.958	-30.06406
6.959	-30.07344
6.96	-29.14219
6.961	-29.65938
6.962	-29.19531
6.963	-30.34375
6.964	-30.94063
6.965	-31.87188
6.966	-33.71563
6.967	-35.18594
6.968	-36.02813
6.969	-35.89063
6.97	-36.86875
6.971	-36.26563
6.972	-36.77031
6.973	-35.53438
6.974	-34.85156
6.975	-34.10312
6.976	-32.20313
6.977	-30.90625
6.978	-29.89844
6.979	-30.15313
6.98	-29.07656
6.981	-29.625
6.982	-29.19688
6.983	-30.40625
6.984	-31.08281
6.985	-31.87969
6.986	-33.675
6.987	-35.10938
6.988	-36.01094
6.989	-35.97812
6.99	-36.90156
6.991	-36.24844
6.992	-36.78594
6.993	-35.55313
6.994	-34.95313
6.995	-34.21719
6.996	-32.28125
6.997	-30.94219
6.998	-30.05469
6.999	-30.04375
7	-29.06719
7.001	-29.68438
7.002	-29.26094
7.003	-30.5625
7.004	-31.18125
7.005	-31.86094
7.006	-33.68594
7.007	-35.18281
7.008	-36.09688
7.009	-36.02344
7.01	-36.87031
7.011	-36.28281
7.012	-36.5875
7.013	-35.55313
7.014	-34.92344
7.015	-34.12031
7.016	-32.25469
7.017	-30.98281
7.018	-30.18438
7.019	-30.31406
7.02	-29.28438
7.021	-29.81094
7.022	-29.31406
7.023	-30.44531
7.024	-31.12188
7.025	-31.80781
7.026	-33.74531
7.027	-35.21406
7.028	-35.93906
7.029	-35.84688
7.03	-36.85312
7.031	-36.32031
7.032	-36.75937
7.033	-35.71406
7.034	-35.02344
7.035	-34.375
7.036	-32.47812
7.037	-31.05781
7.038	-30.18281
7.039	-30.29219
7.04	-29.31875
7.041	-29.84531
7.042	-29.41406
7.043	-30.525
7.044	-31.07344
7.045	-31.81563
7.046	-33.74688
7.047	-35.04531
7.048	-35.91719
7.049	-35.89375
7.05	-36.88281
7.051	-36.325
7.052	-36.78594
7.053	-35.60938
